Position,product_name,price,rating,review
1,SASSAFRAS Women Wide Leg Stretchable Jeans,Rs. 1319,4.2,4.2k
2,H&M Wide Ultra High Jeans,,4,458
3,IVOC Women Grey Mid-Rise Cotton Cargos Trousers,Rs. 1399,4.3,1.6k
4,Chemistry Women Flared High-Rise Light Fade Jeans,Rs. 1101,3.7,1.8k
5,SASSAFRAS Women Blue Comfort Wide Leg High-Rise Mildly Distressed Light Fade Jeans,Rs. 839,4.1,7.3k
6,Levis Women Straight Fit High-Rise Light Fade Stretchable Jeans,Rs. 1499,4.3,2.1k
7,Levis Women High-Rise Straight Fit Light Fade Stretchable Jeans,Rs. 2399,4.3,2.1k
8,MANGO Women Mom Fit Heavy Fade Stretchable Jeans,Rs. 2513,4,593
9,The Roadster Life Co. Women Wide Leg High-Rise Light Fade Stretchable Jeans,Rs. 857,4.2,328
10,Levis Women 724 Straight Fit High-Rise Stretchable Jeans,Rs. 1299,4,61
11,Levis Women 724 Straight Fit High-Rise Heavy Fade Stretchable Jeans,Rs. 2319,4.5,44
12,SASSAFRAS BASICS Women Clean Look No Fade High-Rise Jeans,Rs. 1218,4.1,1k
13,Levis Women 724 Straight Fit High-Rise Light Fade Stretchable Jeans,Rs. 2319,4.4,84
14,Levis Women Straight Fit High-Rise Heavy Fade Stretchable Jeans,Rs. 2399,4.5,41
15,Kotty Women Black Jean Straight Fit High-Rise Stretchable Jeans,Rs. 599,3.8,11.6k
16,Chemistry Women Wide Leg Light Fade Stretchable Jeans,Rs. 1007,3.9,1.2k
17,Chemistry Women Blue Mom Fit HIgh-Rise Faded Look Cropped Jeans,Rs. 1011,4.2,3.3k
18,Levis Women Straight Fit High-Rise Light Fade Stretchable Jeans,Rs. 2399,4.3,2.1k
19,MANGO Women High-Rise Light Fade Stretchable Ankle Length Mom Fit Jeans,Rs. 2513,3.9,666
20,H&M Women Blue Skinny High Jeans,,4,10.5k
21,H&M Women Skinny High Jeans,Rs. 1199,4,10.5k
22,Levis Women Slim Straight Fit High-Rise Light Fade Stretchable Jeans,Rs. 1449,4.1,43
23,HJ HASASI Women High-Rise Stretchable Wide Leg Jeans,Rs. 899,4.3,1.3k
24,SASSAFRAS BASICS Women Straight Fit High-Rise Clean Look Heavy Fade Jeans,Rs. 1099,4,1.4k
25,The Roadster Lifestyle Co. Women Skinny-Fit Clean Look Stretchable Jeans,Rs. 1183,4.2,133
26,H&M Women Skinny High Jeans,,4.3,967
27,MANGO Women Wide Leg Catherin Stretchable Frayed Jeans,Rs. 1795,4.2,358
28,SASSAFRAS Black Comfort Straight Fit High-Rise Cotton Slash Knee Jeans,Rs. 827,4.2,7.7k
29,Kotty Women Pack Of 2 Straight Fit High-Rise Stretchable Jeans,Rs. 1109,3.8,7.7k
30,H&M Women Skinny High Jeans,,4,10.5k
31,Kotty Women Straight Fit High-Rise Stretchable Cropped Jeans,Rs. 599,3.8,717
32,Basics By Tokyo Talkies Women Blue Flared Stretchable Jeans,Rs. 687,4.1,783
33,Miss Chase Women Black Skinny Fit High-Rise Jeans,Rs. 993,4.2,1.6k
34,Stylecast X Kotty Women Jean Straight Fit High-Rise Cargo Style Stretchable Jeans,Rs. 749,3.7,64
35,Levis Women Wide Leg High-Rise Light Fade Stretchable Jeans,Rs. 3039,4.2,86
36,SASSAFRAS Women Black Slim Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Rs. 699,4,17.7k
37,Levis Women Straight Fit High-Rise Light Fade Stretchable Jeans,Rs. 1449,5,6
38,DOLCE CRUDO Women Black Skinny Fit High-Rise Clean Look Stretchable Jeans,Rs. 791,4.1,10.5
39,H&M Women Straight High Jeans,,4,498
40,SASSAFRAS Women Blue Pure Cotton Relaxed Fit High-Rise Clean Look Cropped Jeans,Rs. 699,4.2,20.3k
41,Chemistry Women Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Rs. 879,4,3.4k
42,Flying Machine Women Straight Fit High-Rise Stretchable Jeans,Rs. 1481,4.2,493
43,Kotty Women Jean Light Fade Wide Leg Stretchable Jeans,Rs. 599,3.8,1.3k
44,H&M Women Wide Ultra High Jeans,,4.1,2.2k
45,The Roadster Life Co. Women Straight Fit High-Rise Jeans,Rs. 779,4.1,243
46,Kotty Women Jean Straight Fit High Rise Stretchable Jeans,Rs. 599,3.9,782
47,Flying Machine Women Straight Fit High-Rise Low Distressed Light Fade Cotton Jeans,Rs. 1281,4,922
48,The Roadster Lifestyle Co. Women Blue Super Skinny Fit Clean Look Stretchable Jeans,Rs. 985,4.2,540
49,Levis Women Slim Straight Fit High-Rise Stretchable Jeans,Rs. 2079,4.4,22
50,MANGO Women Black Skinny Fit High-Rise Low Distress Stretchable Jeans,Rs. 1495,4,496
51,MANGO Women Black Skinny Fit High-Rise Low Distress Stretchable Jeans,Rs. 1495,4,496
52,MANGO Women Straight Fit Pure Cotton Light Fade Jeans,Rs. 2793,3.9,48
53,Flying Machine Women Flared High-Rise Clean Look Stretchable Jeans,Rs. 1253,4.3,3.7k
54,DOLCE CRUDO Women Black Skinny Fit High-Rise Stretchable Jeans,Rs. 791,4.1,47
55,Levis Women Straight Fit High-Rise Light Fade Stretchable Jeans,Rs. 1499,4.3,247
56,SASSAFRAS Women Light Fade Acid Wash Clean Look Stretchable Jeans,Rs. 1199,4.3,852
57,Levis Women 711 Skinny Fit Stretchable Jeans,Rs. 2079,4,1.7k
58,Roadster Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Crop Jeans,Rs. 1119,4,67
59,FREAKINS Women Blue Wide Leg High-Rise Light Fade Mildly Distressed Ripped Cotton Jeans,Rs. 2099,4.2,898
60,H&M Women Pure Cotton Wide High Jeans,,4.1,34k
61,H&M Women Slim Mom High Ankle Jeans,,4.3,213
62,Tokyo Talkies Women Blue Low Distress Heavy Fade Jeans,Rs. 749,3.7,2.4k
63,Levis Women Straight Fit High-Rise Stretchable Jeans,Rs. 3484,4.7,1.5k
64,The Roadster Lifestyle Co Blue Lightweight Wide Leg-Fit Stretchable Jeans,Rs. 1187,4,3
65,Flying Machine Women Wide Leg High-Rise Light Fade Cotton Jeans,Rs. 1367,4,34
66,Kotty Women Straight Fit High-Rise Light Shade Stretchable Cotton Lycra Blend Jeans,Rs. 599,3.5,1.5k
67,SASSAFRAS Women Black Straight Fit High-Rise Stretchable Cargo Jeans,Rs. 827,4.4,2.2k
68,Levis Women 711 Skinny Fit Light Fade Stretchable Mid-Rise Jeans,Rs. 1449,4.3,245
69,StyleCast Women Blue Relaxed Fit Flared Mid-Rise Clean Look Light Fade Jeans,Rs. 1349,3.9,678
70,Levis Women 724 Straight Fit High-Rise Light Fade Stretchable Jeans,Rs. 1449,4.2,893
71,H&M Women Slim Mom High Ankle Jeans,,4.5,30
72,MANGO Relaxed Fit High-Rise Jeans,Rs. 2333,4.3,83
73,The Roadster Life Co. Women Wide Leg High-Rise Stretchable Jeans,Rs. 637,4.1,232
74,Flying Machine Women Wide Leg High-Rise Low Distress Stretchable Jeans,Rs. 1281,4.2,10.9k
75,SASSAFRAS Women Blue Straight Fit High-Rise Stretchable Jeans,Rs. 919,4.3,23
76,Miss Chase Women Black Skinny Fit High-Rise Clean Look Jeans,Rs. 818,4.1,2
77,MANGO Women Sustainable Pure Cotton Wide Leg High-Rise Jeans,Rs. 1795,3.7,3.5k
78,SASSAFRAS BASICS Women Anti Relaxed Fit Stretchable Jeans,Rs. 699,4,321
79,Miss Chase Women Black Wide Leg High-Rise Stretchable Jeans,Rs. 984,4.4,678
80,Levis Women High Rise 80's New Mom Relaxed Tapered Fit Light Fade Stretchable Jeans,Rs. 2399,4.8,536
81,DOLCE CRUDO Women Blue Skinny Fit High-Rise Clean Look Stretchable Jeans,Rs. 839,4.2,554
82,The Roadster Life Co.  Women Wide Leg High-Rise Stretchable Jeans,Rs. 747,3.7,1.7k
83,SASSAFRAS Women Black Straight Fit High Rise Clean Look Stretchable Cargo Jeans,Rs. 919,4.2,1.3k
84,Chemistry Women Flared Light Fade Stretchable Jeans,Rs. 1333,4.2,31
85,KETCH Women Skinny Fit Clean Look Stretchable Jeans,Rs. 649,4,2
86,MANGO Women Grey Straight Fit High-Rise Light Fade Cropped Jeans,Rs. 1495,4.1,443
87,Levis Women 725 Bootcut High Rise Heavy Fade Stretchable Jeans,Rs. 3279,4.4,23
88,Stylecast X Kotty Women Straight Fit High-Rise Stretchable Flap Pocket Cargo Jeans,Rs. 1049,4.3,1.2k
89,SASSAFRAS Women Navy Blue Straight Fit High-Rise Slash Knee Stretchable Jeans,Rs. 719,4.1,2k
90,Levis Women 314 Straight Fit Mid Rise Light Fade Stretchable Jeans,Rs. 1799,4.4,331
91,Miss Chase Women Bootcut High-Rise Clean Look Light Fade Stretchable Jeans,Rs. 1258,4.1,445
92,Marks & Spencer Women Wide Leg High-Rise Clean Look Stretchable Jeans,Rs. 1199,,235
93,Basics By Tokyo Talkies Women Flared Light Fade Stretchable Jeans,Rs. 659,4.3,235
94,ONLY Women Straight Fit High-Rise Pure Cotton Jeans,Rs. 1849,4.1,3.2k
95,Levis Women Bootcut High-Rise Low Distress Heavy Fade Pure Cotton Jeans,Rs. 3654,4.2,32
96,Levis Women Pure Cotton High Rise Wide Leg Mildly Distressed Heavy Fade Jeans,Rs. 1899,4.5,43
97,Roadster Women Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 758,3.9,133
98,IVOC Women Regular Fit cargo trouser,Rs. 1399,4.3,4.1k
99,Kotty Women Blue Jean Stretchable Jeans,Rs. 599,3.2,234
100,Levis Women High-Rise Baggy Light Fade Jeans,Rs. 3484,3.9,334
